"primary_project","project_id",stream,"stream_id"
"10030968_P2952_SEM",11684,"10030968_P2952_SEM_MP_touchdetection",11895
"10030968_P2952_SEM",11684,"10030968_P2952_SEM_MP_tunermanager",11896
"10030968_P2952_SEM",11684,"10030968_P2952_SEM_MP_vehiclehal",11897
"10030945_AUDIMIB3_TOP_CPV",12680,"10030945_AUDIMIB3_TOP_CPV_main",11936
"10028677_BOOT_SM40",12681,"10028677_BOOT_SM40_Jenkins",11937
"10024823_02_MT92P1_TULA_48V",12531,"10024823_02_MT92P1_TULA_48V_9p0_b201",11883
"10031391_CSVV_MISRA_C2012_R3",12601,"10031391_CSVV_MISRA_C2012_R3_all",11866
"10031689_Hyundai_SRR5_MY20",12591,"10031689_Hyundai_SRR5_MY20_gj10yg",11859
"002016651_FORD_ADAS_DAT_MRR3",12851,"002016651_FORD_ADAS_DAT_MRR3_Stream",12096
"10030925_SGM_K226_CLUSTER_VP_NS",12652,"10030925_SGM_K226_CLUSTER_VP_NS_1",11907
"10031600_MY21_Ford_DAT2_Performance_Micro",12606,"10031600_MY21_Ford_DAT2_Performance_Micro_all",11870
"10031655_GWM_A30_B30_SRR3_MY2019",12417,"10031655_GWM_A30_B30_SRR3_MY2019_sjj6ks",11884
"10031452_Project_Phoenix_MTC",12093,"10031452_Project_Phoenix_MTC_Phoenix_Misra",11898
"10032188_Geely_GEEA2p0_CEM",12656,"10032188_Geely_GEEA2p0_CEM_S",11909
"10030925_SGM_K226_CLUSTER_GP_APP",11486,"10030925_SGM_K226_CLUSTER_GP_APP_201801",11899
"10030945_AUDIMIB3_TOP_CPA_LINUX_APP",12127,"10030945_AUDIMIB3_TOP_CPA_LINUX_APP_main",11910
"10031275_MPAD_FASIP_Aurix_BMW_MY2021",12644,"10031275_MPAD_FASIP_Aurix_BMW_MY2021_V6_2",11900
"10029916_HPAD_FASIP_Aurix_BMW_MY2021",12646,"10029916_HPAD_FASIP_Aurix_BMW_MY2021_V4_3",11901
"10032291_APC_GWM_P3011_Pickup_IFV151_MY20",12661,"10032291_APC_GWM_P3011_Pickup_IFV151_MY20_Host",11914
"10031390_SGM_CC0910aa_VIP_APP_MISRA",12683,"10031390_SGM_CC0910aa_VIP_APP_MISRA_SLEEP",11938
"10032291_APC_GWM_P3011_Pickup_IFV151_MY20",12661,"10032291_APC_GWM_P3011_Pickup_IFV151_MY20_Boot",11915
"10030945_AUDIMIB3_TOP",12703,"10030945_AUDIMIB3_TOP_CPR",11326
"10031391_SGM_358_CLUSTER_GP",12664,"10031391_SGM_358_CLUSTER_GP_APP_201707",11916
"10030968_P2952_SEM",11684,"10030968_P2952_SEM_MP_dab",11917
"10031390_SGM_CC0910aa_VIP_APP_MISRA",12683,"10031390_SGM_CC0910aa_VIP_APP_MISRA_NOSLEEP",11939
"10030968_P2952_SEM",11684,"10030968_P2952_SEM_MP_digitalradio",11918
"10030968_P2952_SEM",11684,"10030968_P2952_SEM_MP_diagnostics",11919
"10030968_P2952_SEM",11684,"10030968_P2952_SEM_MP_traffic",11920
"10030968_P2952_SEM",11684,"10030968_P2952_SEM_MP_stomp",11921
"10031588_MY19_JLR_ISP_VIP",12704,"10031588_MY19_JLR_ISP_VIP_STREAM",11955
"10031275_MPAD_FASIP_Aurix_BMW_MY2021",12644,"10031275_MPAD_FASIP_Aurix_BMW_MY2021_V6_2_FSC",11922
"10031275_MPAD_FASIP_Aurix_BMW_MY2021",12644,"10031275_MPAD_FASIP_Aurix_BMW_MY2021_V6_2_SSC",11923
"10031275_MPAD_FASIP_Aurix_BMW_MY2021",12644,"10031275_MPAD_FASIP_Aurix_BMW_MY2021_V6_2_BM",11924
"10032187_Geely_HCM",12732,"10032187_Geely_HCM_1",11982
